Date,Category,Region,Sales,Quantity,Profit,Rating
2025-07-09,Home & Kitchen,North,188.06,1,11.95,5
2025-07-09,Beauty,South,178.65,3,35.24,5
2025-07-09,Books,North,451.74,2,141.09,4
2025-07-09,Apparel,South,286.99,2,35.8,3
2025-07-10,Electronics,North,548.6,1,170.57,3
2025-07-11,Beauty,East,218.38,4,32.78,3
2025-07-11,Apparel,East,58.54,2,-7.2,5
2025-07-11,Beauty,South,14.79,2,-28.46,3
2025-07-12,Apparel,South,29.59,4,-22.93,5
2025-07-12,Apparel,South,15.14,4,-47.18,5
2025-07-12,Apparel,East,265.58,4,13.19,4
2025-07-13,Books,South,232.48,4,80.2,4
2025-07-13,Apparel,West,107.08,3,4.79,4
2025-07-14,Home & Kitchen,East,200.45,5,45.07,5
2025-07-14,Home & Kitchen,South,26.61,2,3.0,4
2025-07-14,Electronics,West,842.9,4,279.51,5
2025-07-14,Books,West,217.51,1,33.16,5
2025-07-15,Home & Kitchen,West,266.6,3,64.97,4
2025-07-16,Books,South,86.04,2,3.88,5
2025-07-16,Electronics,South,14.97,1,-16.25,3
2025-07-16,Home & Kitchen,North,54.8,5,-8.51,4
2025-07-17,Electronics,East,90.58,3,-27.4,5
2025-07-17,Electronics,North,44.85,2,-27.99,4
2025-07-17,Beauty,South,26.68,2,-7.7,3
2025-07-17,Home & Kitchen,South,153.53,2,-1.28,4
2025-07-17,Electronics,East,206.68,5,1.12,5
2025-07-18,Books,West,123.98,2,18.06,3
2025-07-18,Books,South,48.95,1,-18.22,3
2025-07-18,Electronics,North,132.41,2,20.14,3
2025-07-19,Beauty,East,37.09,2,3.18,4
2025-07-19,Home & Kitchen,West,50.53,4,5.75,4
2025-07-20,Home & Kitchen,North,48.46,2,0.11,3
2025-07-21,Electronics,East,223.66,2,50.14,3
2025-07-21,Home & Kitchen,North,47.1,5,12.9,5
2025-07-21,Beauty,South,52.32,2,12.04,3
2025-07-21,Electronics,North,46.98,3,2.42,4
2025-07-21,Beauty,North,242.47,3,27.5,3
2025-07-21,Electronics,East,291.79,4,49.38,4
2025-07-22,Apparel,North,360.9,5,37.13,3
2025-07-22,Electronics,South,30.86,2,-9.61,5
2025-07-22,Beauty,East,195.74,4,12.63,5
2025-07-23,Apparel,South,167.88,5,-59.69,3
2025-07-23,Home & Kitchen,West,83.13,2,25.64,3
2025-07-23,Electronics,North,92.08,2,10.17,3
2025-07-23,Books,West,34.79,3,-5.64,5
2025-07-23,Books,North,468.31,1,117.13,5
2025-07-23,Beauty,South,171.66,3,43.58,5
2025-07-23,Electronics,South,600.73,1,179.46,3
2025-07-24,Books,East,119.24,4,41.29,4
2025-07-24,Home & Kitchen,North,82.1,2,-21.13,5
2025-07-24,Apparel,North,113.17,4,16.33,3
2025-07-24,Books,West,410.63,5,105.77,4
2025-07-24,Electronics,West,217.85,5,38.95,5
2025-07-24,Apparel,South,32.79,1,-5.94,5
2025-07-24,Beauty,South,98.38,3,30.95,3
2025-07-25,Home & Kitchen,South,112.33,2,7.94,3
2025-07-26,Home & Kitchen,South,290.47,3,64.19,4
2025-07-26,Home & Kitchen,East,559.61,3,151.3,5
2025-07-27,Beauty,South,141.29,3,8.22,4
2025-07-28,Apparel,West,32.47,5,-2.83,5
2025-07-28,Electronics,South,89.83,3,-10.4,3
2025-07-28,Beauty,West,117.52,5,26.61,3
2025-07-28,Beauty,North,1140.34,2,410.83,5
2025-07-28,Home & Kitchen,North,23.85,1,-6.35,4
2025-07-28,Home & Kitchen,South,30.9,4,2.41,5
2025-07-29,Home & Kitchen,East,207.77,1,45.53,3
2025-07-30,Apparel,South,245.33,3,38.25,4
2025-07-30,Beauty,North,121.74,2,22.24,4
2025-07-31,Books,South,479.63,3,87.31,5
2025-07-31,Books,South,257.75,1,64.38,5
2025-08-01,Electronics,East,327.82,1,55.12,5
2025-08-01,Home & Kitchen,South,64.82,3,6.5,4
2025-08-01,Beauty,East,46.0,5,11.97,3
2025-08-01,Books,West,37.23,5,-32.67,4
2025-08-02,Apparel,East,24.71,1,6.9,5
2025-08-02,Apparel,West,11.86,5,-42.7,3
2025-08-02,Books,East,128.77,1,13.59,4
2025-08-02,Electronics,East,68.52,5,23.23,4
2025-08-04,Apparel,West,148.24,3,44.14,4
2025-08-04,Beauty,West,73.16,3,10.63,4
2025-08-04,Electronics,North,47.9,3,8.56,3
2025-08-05,Home & Kitchen,North,66.54,4,-16.72,5
2025-08-05,Electronics,West,224.6,3,20.9,3
2025-08-06,Apparel,East,11.52,2,-7.2,4
2025-08-07,Apparel,West,99.8,2,-5.09,3
2025-08-07,Books,North,44.14,2,-2.0,3
2025-08-08,Electronics,North,264.54,2,40.07,4
2025-08-08,Apparel,South,308.61,4,68.34,4
2025-08-08,Electronics,North,195.17,3,73.33,5
2025-08-08,Beauty,South,75.79,5,6.47,5
2025-08-09,Apparel,West,272.92,2,89.62,3
2025-08-09,Electronics,North,13.13,2,-0.37,5
2025-08-11,Apparel,West,259.0,5,-18.48,3
2025-08-11,Apparel,South,31.12,3,-14.89,3
2025-08-12,Apparel,West,742.78,4,265.16,3
2025-08-13,Electronics,East,64.19,5,8.52,4
2025-08-14,Books,East,31.18,5,5.53,3
2025-08-14,Beauty,North,128.73,5,12.25,3
2025-08-14,Apparel,East,267.05,3,83.91,4
2025-08-14,Apparel,East,30.05,5,-12.23,3
2025-08-15,Home & Kitchen,North,103.31,2,29.43,4
2025-08-15,Apparel,East,50.19,2,9.91,4
2025-08-15,Home & Kitchen,South,27.97,5,7.41,3
2025-08-17,Beauty,South,98.15,3,28.71,5
2025-08-17,Apparel,South,155.03,3,6.38,3
2025-08-17,Books,South,339.58,2,54.18,3
2025-08-19,Electronics,West,230.96,2,46.09,5
2025-08-20,Home & Kitchen,South,152.36,2,48.98,5
2025-08-20,Home & Kitchen,North,42.65,1,7.63,4
2025-08-20,Home & Kitchen,South,102.14,5,7.49,5
2025-08-20,Electronics,East,320.99,1,116.79,3
2025-08-21,Electronics,West,56.64,1,6.61,3
2025-08-22,Home & Kitchen,North,349.56,1,56.68,3
2025-08-22,Apparel,North,235.04,1,-0.24,5
2025-08-23,Apparel,East,129.49,1,8.02,5
2025-08-24,Apparel,West,203.99,2,18.18,3
2025-08-25,Beauty,East,37.09,4,-37.06,4
2025-08-25,Apparel,East,357.34,2,70.01,3
2025-08-25,Home & Kitchen,North,84.59,2,11.94,5
2025-08-27,Books,North,15.54,2,-9.27,3
2025-08-28,Electronics,North,37.65,4,5.93,4
2025-08-28,Apparel,North,13.34,3,-20.99,3
2025-08-29,Beauty,South,127.73,4,26.22,5
2025-08-29,Home & Kitchen,East,47.41,3,7.72,5
2025-08-29,Electronics,West,25.39,2,5.3,5
2025-08-29,Home & Kitchen,West,407.31,1,139.55,4
2025-08-30,Books,North,439.66,3,61.41,5
2025-08-31,Electronics,North,10.07,5,-13.38,3
2025-08-31,Electronics,West,306.8,4,-12.33,5
2025-08-31,Apparel,West,110.37,3,21.24,5
2025-08-31,Electronics,East,87.62,2,-14.66,4
2025-09-01,Home & Kitchen,West,225.7,5,-18.61,3
2025-09-01,Apparel,East,39.38,3,-7.11,5
2025-09-02,Electronics,North,33.0,5,-29.02,4
2025-09-02,Electronics,South,238.76,4,54.19,5
2025-09-03,Apparel,South,457.0,2,158.9,5
2025-09-03,Home & Kitchen,West,275.43,5,23.24,3
2025-09-03,Beauty,West,299.87,5,102.31,5
2025-09-03,Beauty,West,163.33,5,36.52,5
2025-09-03,Electronics,North,164.43,1,20.95,3
2025-09-04,Beauty,South,77.03,3,12.52,4
2025-09-04,Apparel,South,15.26,5,-6.01,4
2025-09-04,Beauty,South,72.73,3,0.96,4
2025-09-04,Beauty,South,184.17,3,62.98,4
2025-09-04,Beauty,West,232.78,2,40.01,5
2025-09-05,Books,East,20.62,1,-5.99,5
2025-09-05,Home & Kitchen,South,123.76,1,35.66,4
2025-09-06,Books,East,161.22,5,35.54,3
2025-09-06,Beauty,South,178.29,4,52.15,3
2025-09-06,Apparel,East,354.57,2,130.16,4
2025-09-07,Apparel,East,62.8,1,5.36,5
2025-09-07,Home & Kitchen,South,628.79,5,130.39,4
2025-09-07,Books,South,16.21,2,1.2,4
2025-09-07,Books,South,137.77,4,48.6,5
2025-09-07,Books,East,10.35,2,-53.91,3
2025-09-07,Electronics,East,103.66,2,13.91,3
2025-09-07,Books,South,351.23,5,51.87,4
2025-09-07,Electronics,South,425.6,4,19.23,4
2025-09-07,Books,East,86.95,1,-4.84,4
2025-09-08,Beauty,North,206.86,3,49.25,5
2025-09-08,Home & Kitchen,South,15.81,4,-20.99,3
2025-09-08,Electronics,South,58.39,3,4.71,4
2025-09-08,Books,East,314.82,5,27.67,4
2025-09-09,Electronics,West,347.29,5,96.98,4
2025-09-09,Apparel,North,353.67,4,100.15,5
2025-09-09,Books,South,53.72,1,-8.39,5
2025-09-09,Electronics,North,207.87,4,9.9,3
2025-09-09,Home & Kitchen,East,81.44,4,21.36,5
2025-09-11,Books,South,291.73,2,32.13,3
2025-09-11,Home & Kitchen,South,39.82,3,-11.65,3
2025-09-11,Books,South,105.82,1,16.7,4
2025-09-11,Home & Kitchen,East,237.26,5,56.67,3
2025-09-12,Books,West,123.25,1,10.65,4
2025-09-12,Apparel,South,241.79,1,-2.7,5
2025-09-13,Beauty,East,318.42,4,39.45,5
2025-09-13,Books,West,195.75,4,13.46,4
2025-09-14,Books,East,173.68,5,39.64,5
2025-09-14,Electronics,North,25.69,5,-2.57,3
2025-09-14,Apparel,South,120.89,3,9.97,4
2025-09-15,Beauty,West,284.71,4,47.55,5
2025-09-15,Apparel,East,48.28,4,-25.96,4
2025-09-16,Home & Kitchen,North,23.68,4,2.71,4
2025-09-16,Electronics,East,145.95,3,10.3,5
2025-09-17,Electronics,South,129.44,3,-12.39,4
2025-09-17,Beauty,East,331.5,4,27.78,4
2025-09-19,Home & Kitchen,North,41.82,4,3.92,4
2025-09-19,Electronics,East,49.6,3,18.25,3
2025-09-19,Apparel,East,207.36,1,50.27,4
2025-09-19,Electronics,South,62.49,4,-17.21,4
2025-09-19,Apparel,South,90.66,3,-0.57,5
2025-09-20,Beauty,South,106.05,1,21.75,3
2025-09-20,Apparel,North,224.75,1,25.24,3
2025-09-20,Apparel,West,57.01,5,-7.57,3
2025-09-20,Apparel,West,210.66,5,10.32,5
2025-09-21,Books,East,167.8,4,26.29,4
2025-09-21,Beauty,North,134.28,1,37.16,3
2025-09-21,Apparel,East,19.14,1,-12.11,5
2025-09-21,Apparel,North,50.02,2,3.34,3
2025-09-21,Home & Kitchen,North,37.78,1,-5.16,4
2025-09-21,Home & Kitchen,South,29.92,5,2.04,4
2025-09-21,Beauty,East,88.71,1,23.95,4
2025-09-22,Electronics,East,165.12,5,39.52,3
2025-09-22,Apparel,West,114.62,4,32.65,3
2025-09-23,Books,East,14.65,3,2.46,5
2025-09-24,Electronics,North,54.5,3,11.47,3
2025-09-24,Home & Kitchen,West,179.25,1,65.99,3
2025-09-24,Beauty,North,53.95,2,-48.83,5
2025-09-25,Electronics,South,106.77,3,-7.62,4
2025-09-25,Home & Kitchen,West,80.45,4,-1.68,3
2025-09-26,Home & Kitchen,South,19.38,5,-19.78,4
2025-09-26,Books,South,108.81,4,-2.44,5
2025-09-26,Electronics,East,17.99,5,3.8,4
2025-09-26,Electronics,West,107.48,5,-21.53,4
2025-09-27,Electronics,East,271.26,4,61.08,3
2025-09-27,Home & Kitchen,South,72.74,4,16.71,4
2025-09-28,Electronics,West,243.24,5,48.42,4
2025-09-28,Beauty,East,85.49,1,19.44,4
2025-09-29,Apparel,East,288.43,5,82.15,5
2025-09-29,Electronics,West,291.86,4,106.29,5
2025-09-30,Beauty,West,223.82,3,82.41,3
2025-09-30,Books,North,150.05,3,22.88,5
2025-09-30,Books,South,174.88,5,43.65,4
2025-09-30,Apparel,West,12.02,4,-2.61,4
2025-09-30,Home & Kitchen,North,53.92,1,9.63,5
2025-09-30,Apparel,East,270.4,3,43.8,4
2025-10-01,Electronics,East,610.94,3,154.08,4
2025-10-02,Beauty,West,17.08,2,-0.04,5
2025-10-02,Beauty,East,31.89,2,-48.32,5
2025-10-03,Apparel,West,14.17,5,-2.19,5
2025-10-04,Home & Kitchen,West,178.98,1,48.21,5
2025-10-04,Beauty,South,128.68,3,-2.59,4
2025-10-04,Books,East,597.62,5,128.35,3
2025-10-04,Apparel,West,107.82,3,19.13,5
2025-10-04,Books,North,28.5,3,3.7,5
2025-10-04,Books,West,84.83,1,3.32,5
2025-10-05,Apparel,South,38.28,1,-4.01,3
2025-10-05,Apparel,North,800.55,5,228.28,4
2025-10-05,Books,East,361.13,4,125.89,4
2025-10-06,Apparel,West,129.64,1,34.17,5
2025-10-06,Apparel,South,686.87,4,73.64,5
2025-10-06,Electronics,East,144.06,2,22.11,5
2025-10-06,Electronics,East,41.84,1,-20.38,5
2025-10-07,Home & Kitchen,West,60.38,5,7.34,3
2025-10-07,Books,West,100.14,3,-1.27,5
2025-10-07,Home & Kitchen,North,128.24,2,50.14,5
2025-10-08,Electronics,South,81.59,3,1.74,5
2025-10-08,Books,South,12.72,4,1.05,4
2025-10-09,Electronics,East,38.05,5,0.6,5
2025-10-09,Electronics,West,562.34,3,192.52,5
2025-10-09,Beauty,South,203.73,5,46.0,5
2025-10-09,Books,West,267.53,1,35.26,5
2025-10-10,Apparel,East,22.95,4,8.67,5
2025-10-11,Beauty,South,387.72,1,135.45,5
2025-10-11,Beauty,North,140.92,5,22.83,3
2025-10-11,Apparel,South,41.21,1,-21.31,4
2025-10-11,Apparel,South,117.84,1,2.94,5
2025-10-11,Apparel,East,129.55,3,-12.6,3
2025-10-12,Beauty,East,160.91,3,-5.56,3
2025-10-12,Electronics,North,14.7,3,1.05,5
2025-10-12,Home & Kitchen,North,121.8,1,36.34,4
2025-10-13,Books,South,164.37,4,-2.37,4
2025-10-13,Beauty,South,98.99,2,5.08,3
2025-10-13,Home & Kitchen,West,71.93,2,12.48,4
2025-10-14,Books,East,239.19,5,58.52,3
2025-10-14,Beauty,South,25.78,4,1.78,3
2025-10-14,Books,North,85.97,2,30.57,3
2025-10-15,Home & Kitchen,South,133.18,3,-9.37,4
2025-10-15,Electronics,North,10.57,2,-31.69,5
2025-10-16,Electronics,West,46.11,4,-21.12,3
2025-10-17,Home & Kitchen,North,97.26,1,-15.99,4
2025-10-17,Beauty,West,126.72,4,16.36,3
2025-10-18,Apparel,West,477.94,5,71.83,5
2025-10-18,Beauty,East,249.59,4,88.3,5
2025-10-19,Home & Kitchen,West,134.73,5,38.03,4
2025-10-19,Home & Kitchen,East,201.3,3,22.87,5
2025-10-20,Beauty,South,132.8,5,10.1,3
2025-10-20,Electronics,West,22.12,4,1.32,4
2025-10-21,Beauty,South,127.31,1,39.75,3
2025-10-21,Electronics,North,15.49,1,-32.82,4
2025-10-21,Electronics,East,45.31,3,0.5,3
2025-10-22,Beauty,South,210.4,4,66.48,4
2025-10-22,Electronics,South,578.82,1,179.21,5
2025-10-22,Beauty,South,45.57,2,4.84,3
2025-10-22,Home & Kitchen,West,13.34,2,1.07,4
2025-10-22,Beauty,East,47.31,1,3.21,5
2025-10-22,Apparel,East,128.06,2,19.73,3
2025-10-22,Home & Kitchen,East,29.22,4,-7.17,3
2025-10-23,Electronics,West,90.2,4,1.23,3
2025-10-23,Home & Kitchen,East,364.77,1,58.62,4
2025-10-23,Apparel,East,44.41,3,16.02,5
2025-10-23,Beauty,South,19.49,4,3.55,5
2025-10-23,Home & Kitchen,South,141.3,2,3.61,5
2025-10-24,Apparel,East,162.04,1,11.62,4
2025-10-24,Apparel,West,17.99,4,-10.3,3
2025-10-24,Electronics,West,164.02,2,15.24,5
2025-10-25,Apparel,South,399.82,2,58.35,3
2025-10-25,Apparel,East,32.19,1,-6.75,5
2025-10-25,Beauty,East,104.32,2,1.44,5
2025-10-25,Home & Kitchen,West,20.0,4,-1.73,5
2025-10-25,Books,East,79.58,4,2.1,5
2025-10-25,Books,South,178.78,2,33.98,4
2025-10-26,Books,South,324.63,5,31.51,5
2025-10-26,Beauty,South,48.5,5,11.61,5
2025-10-26,Apparel,South,54.0,4,-44.1,5
2025-10-27,Home & Kitchen,North,160.94,2,31.56,3
2025-10-28,Beauty,South,84.88,3,-6.73,4
2025-10-28,Beauty,North,81.87,1,-6.51,5
2025-10-28,Electronics,West,79.59,2,2.74,5
2025-10-29,Apparel,West,56.75,4,16.2,3
2025-10-29,Home & Kitchen,West,35.14,1,10.72,5
2025-10-29,Apparel,East,20.73,5,1.96,3
2025-10-29,Electronics,South,238.04,1,43.58,4
2025-10-29,Beauty,West,56.42,5,12.92,5
2025-10-30,Apparel,North,160.32,5,5.03,4
2025-10-30,Home & Kitchen,West,72.41,3,-5.16,3
2025-10-30,Electronics,North,97.3,4,-36.96,4
2025-10-30,Electronics,West,242.06,5,56.47,4
2025-10-30,Electronics,East,160.02,5,19.63,5
2025-10-30,Apparel,North,453.79,1,49.6,3
2025-10-31,Apparel,South,56.99,5,2.38,3
2025-10-31,Beauty,South,25.62,2,-27.33,4
2025-11-01,Apparel,North,71.72,4,12.39,3
2025-11-01,Home & Kitchen,South,54.22,4,10.74,4
2025-11-01,Books,North,276.4,4,58.2,4
2025-11-02,Beauty,West,162.37,5,-5.54,5
2025-11-02,Home & Kitchen,West,257.6,3,78.49,4
2025-11-03,Books,East,23.38,3,-9.71,5
2025-11-04,Beauty,South,132.46,4,7.73,3
2025-11-05,Electronics,West,288.61,2,88.41,5
2025-11-05,Beauty,West,45.14,5,4.3,5
2025-11-05,Electronics,West,176.73,2,20.34,5
2025-11-07,Apparel,South,82.95,2,27.34,3
2025-11-07,Home & Kitchen,West,46.41,1,-23.84,5
2025-11-07,Electronics,West,187.85,2,30.25,5
2025-11-07,Beauty,East,118.44,3,-6.55,5
2025-11-07,Beauty,West,120.86,3,9.46,5
2025-11-07,Books,South,385.54,5,125.97,3
2025-11-07,Beauty,South,30.45,4,-5.89,4
2025-11-08,Home & Kitchen,West,173.0,5,21.1,4
2025-11-08,Electronics,South,105.13,4,-24.34,5
2025-11-08,Electronics,West,163.08,3,12.77,3
2025-11-08,Apparel,South,155.02,1,51.76,4
2025-11-09,Books,North,126.09,5,17.34,4
2025-11-09,Beauty,East,61.5,3,20.75,4
2025-11-10,Apparel,North,148.98,5,15.58,5
2025-11-10,Books,North,200.83,1,26.26,5
2025-11-10,Home & Kitchen,East,386.51,1,85.51,3
2025-11-10,Beauty,North,41.0,3,1.37,3
2025-11-11,Electronics,North,246.54,3,50.2,4
2025-11-11,Electronics,South,238.5,3,14.15,5
2025-11-11,Beauty,South,90.63,5,16.67,4
2025-11-12,Apparel,West,165.17,2,55.52,5
2025-11-12,Beauty,North,26.26,5,-13.12,5
2025-11-12,Books,East,37.43,2,2.21,3
2025-11-13,Electronics,East,161.81,2,13.95,4
2025-11-14,Electronics,South,523.31,5,150.44,4
2025-11-14,Books,South,366.6,5,140.91,3
2025-11-15,Home & Kitchen,North,86.99,3,28.11,3
2025-11-15,Home & Kitchen,North,144.26,1,14.09,4
2025-11-16,Beauty,North,50.94,5,-36.93,3
2025-11-17,Home & Kitchen,North,225.26,3,38.67,5
2025-11-17,Apparel,South,54.02,1,-1.31,4
2025-11-17,Home & Kitchen,West,357.48,2,65.27,5
2025-11-17,Electronics,South,129.22,1,16.21,4
2025-11-17,Beauty,South,124.05,5,0.25,3
2025-11-17,Apparel,East,35.91,4,-45.23,3
2025-11-18,Beauty,South,81.47,5,14.33,4
2025-11-19,Beauty,East,22.03,5,-2.09,4
2025-11-19,Books,East,14.13,4,1.0,5
2025-11-19,Books,East,37.74,3,-2.53,4
2025-11-19,Home & Kitchen,East,206.32,5,50.29,3
2025-11-20,Books,South,113.54,4,24.82,3
2025-11-20,Electronics,North,20.46,1,-20.8,4
2025-11-20,Home & Kitchen,West,66.78,1,-39.0,4
2025-11-20,Beauty,North,16.48,4,2.16,4
2025-11-20,Home & Kitchen,West,176.78,4,51.93,5
2025-11-20,Books,East,311.29,2,49.64,4
2025-11-21,Beauty,South,382.96,1,52.84,3
2025-11-21,Beauty,West,338.44,3,78.62,3
2025-11-22,Electronics,East,273.92,5,64.5,4
2025-11-23,Apparel,West,298.76,4,88.97,3
2025-11-23,Books,South,267.23,3,16.52,4
2025-11-24,Home & Kitchen,North,173.15,1,24.55,5
2025-11-24,Apparel,West,34.79,4,9.63,4
2025-11-24,Apparel,North,24.12,3,1.23,5
2025-11-24,Home & Kitchen,East,25.96,4,-0.73,4
2025-11-25,Electronics,East,149.62,2,30.85,5
2025-11-25,Books,North,372.98,2,98.26,4
2025-11-26,Books,West,203.75,1,14.28,5
2025-11-26,Apparel,East,204.04,5,72.79,3
2025-11-27,Electronics,West,284.57,4,40.58,4
2025-11-27,Beauty,North,129.55,5,20.78,5
2025-11-27,Beauty,East,30.09,5,-57.06,5
2025-11-27,Beauty,North,226.05,2,22.09,5
2025-11-27,Apparel,North,16.87,3,1.29,3
2025-11-28,Home & Kitchen,North,199.65,5,18.28,4
2025-11-28,Home & Kitchen,East,47.13,5,2.26,3
2025-11-29,Beauty,North,137.23,3,29.46,4
2025-11-30,Beauty,South,333.67,4,27.21,5
2025-11-30,Books,West,493.46,4,160.38,3
2025-12-01,Apparel,South,240.16,3,27.05,3
2025-12-01,Beauty,North,284.38,2,97.41,4
2025-12-01,Books,North,11.97,1,-24.04,5
2025-12-02,Electronics,South,141.19,3,24.41,3
2025-12-03,Home & Kitchen,South,184.73,1,48.66,5
2025-12-03,Apparel,North,340.62,5,36.9,4
2025-12-03,Apparel,North,46.24,5,-39.57,5
2025-12-04,Apparel,North,223.81,1,6.25,4
2025-12-04,Beauty,East,189.48,3,2.3,3
2025-12-04,Apparel,North,10.03,5,-2.13,5
2025-12-04,Beauty,South,135.61,1,10.77,4
2025-12-04,Beauty,West,145.14,4,28.26,4
2025-12-05,Home & Kitchen,West,317.89,1,91.77,4
2025-12-05,Beauty,East,133.21,1,47.92,3
2025-12-05,Books,East,30.54,5,1.6,3
2025-12-06,Books,North,76.05,5,23.61,5
2025-12-06,Beauty,East,86.33,3,-2.98,5
2025-12-07,Beauty,West,10.85,5,-8.2,5
2025-12-07,Apparel,North,318.52,3,82.47,5
